66,79930176147136
62,39965088073568
65,17482192829168
71,91278633337268
60,0
63,5
54,0
48,0
48,0
51,0
52,5
54,5
49,0
57,0
57,0
54,5
50,0
55,5
52,0
64,0
52,5
54,5
53,5
53,5
51,0
55,0
52,5
54,5
58,0
56,0
51,0
56,0
54,5
52,0
52,5
48,5
48,5
52,5
59,5
60,0
52,5
51,5
51,5
52,0
57,5
44,0
55,0
43,0
49,5
45,5
53,5
53,5
49,5
51,5
47,5
54,5
52,0
53,5
46,0
50,5
50,5
50,5
54,0
55,0
49,0
48,5
51,5
58,5
54,0
54,0
50,0
55,5
50,5
55,0
45,5
53,5
52,5
43,0
54,5
48,5
54,0
52,5
56,5
49,5
56,0
49,5
49,5
49,5
58,0
47,5
51,0
54,5
51,0
50,5
49,0
54,0
48,0
52,0
53,5
53,0
